,Year,Utility Name,Injuries & Damages (2022$),Transmission Maintenance Expenses (2022$),Transmission Operation Expenses (2022$),Distribution Maintenance Expenses (2022$),Distribution Operation Expenses (2022$),Transmission Plant Capital Additions (2022$),Distribution Plant Capital Additions (2022$)
20,2014,Pacific Gas & Electric Co.,116137715.25901608,104756959.2185913,187366461.78053662,535106715.8122403,276301287.132817,874259847.7155904,1535892326.9555228
21,2015,Pacific Gas & Electric Co.,102022240.19155611,133319742.32925844,211593524.3910709,641291347.1821727,356825731.7303462,1081260790.3561983,1810442919.0445817
22,2016,Pacific Gas & Electric Co.,265514711.08544803,128353600.68723093,223046035.68008918,581239135.0615408,526343574.7029327,1253216130.1038346,1789861202.2083778
23,2017,Pacific Gas & Electric Co.,220463971.10737568,140047096.56198552,208409595.6129617,713648682.6095645,127255972.26989077,806213340.3006932,1927302919.2265165
24,2018,Pacific Gas & Electric Co.,13841140795.518888,177691679.2040893,218270200.94176316,944588643.0786834,367725917.4684489,1107690221.6448662,2265772356.982543
25,2019,Pacific Gas & Electric Co.,12701532638.55988,731238712.457666,379981136.64683455,999085116.628528,591168820.1861175,1162607098.349352,2467138965.223494
26,2020,Pacific Gas & Electric Co.,1306485334.3035302,367925179.02455705,393837191.8391447,2318031624.162158,894355373.3017123,1399417417.1885056,3228768686.9341435
27,2021,Pacific Gas & Electric Co.,1914480877.5561624,350051970.4970526,439298269.52863735,2608797964.642338,781186137.700117,1300503980.5300367,3319762634.9702964
28,2022,Pacific Gas & Electric Co.,1982050432.0,328326464.0,411174208.0,2084441344.0,753497984.0,1054913280.0,3529002240.0
0,1994,Southern California Edison Co,66022996.35742819,61012838.99950753,92732387.11978114,212349953.65428185,172943326.9165527,142781615.63359782,598335865.9764707
1,1995,Southern California Edison Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1996,Southern California Edison Co,77235864.16507773,51520451.119896375,72358725.71316063,149561660.600829,144857967.1573057,182787046.57989636,565246859.4851813
3,1997,Southern California Edison Co,62420963.14951604,51479517.067806415,75668727.59411691,182436078.38209933,131974751.78458832,106120883.56525457,563172036.6694659
4,1998,Southern California Edison Co,51462245.04282179,57407617.07910892,277262840.8407921,222253534.5065347,132232324.92178218,180553231.6817822,616737387.3742574
5,1999,Southern California Edison Co,58760424.821813755,46003608.967303716,304291761.12262934,164591616.33538648,142755954.89090687,254402012.58770543,774007596.7610469
6,2000,Southern California Edison Co,51340476.253649294,43619026.24919431,119857309.81763035,164057612.8879621,171869703.1421801,278952673.8301422,767240260.3268247
7,2001,Southern California Edison Co,72185171.28397489,34400620.60043404,208422953.90775558,163630101.30640778,158226086.71634495,173655900.0008224,566837938.7146089
8,2002,Southern California Edison Co,88606825.93138342,40588436.64189724,161385632.24158105,206847051.11525694,191948524.87968382,230356015.04632413,916607580.6052176
9,2003,Southern California Edison Co,129021859.23064393,39148161.59022565,178629190.61679694,227840531.93052286,194209140.87995598,259953606.18478814,934697888.2965769
10,2004,Southern California Edison Co,62139440.26159829,39403991.28829374,308206995.13917935,390666331.1968899,237453544.49624193,387179318.74108,957328687.1554214
11,2005,Southern California Edison Co,111024628.69277401,50521767.802496076,421769106.66437346,240445718.99704254,243815909.51232308,451066291.0167594,1171410976.4020557
12,2006,Southern California Edison Co,66239172.02444781,67088678.49972768,356877855.14505297,252718835.98717096,272329020.9926778,504491721.6687443,1248755667.709289
13,2007,Southern California Edison Co,98947106.22480437,53933413.54801992,340319286.7925066,236073693.05003557,291860047.70500356,426887780.5947357,1286151983.6661134
14,2008,Southern California Edison Co,66797818.52666288,54662779.29823764,325712169.03695285,216384585.87652075,229664169.71552017,167421327.06264925,925467567.7471291
15,2009,Southern California Edison Co,103343263.41575141,83558022.34762225,234059476.2963868,235328626.96739176,319920456.06217587,1112053717.704949,1450416006.1416576
16,2010,Southern California Edison Co,96911205.8183832,95445525.93202175,231680473.44529206,242661239.53536668,348903475.6118457,521691651.5921306,1801456556.7022665
17,2011,Southern California Edison Co,79889550.49272782,78510792.5199457,221572082.21818793,274561796.30981326,345732517.384651,471509806.00892735,1688820972.7694564
18,2012,Southern California Edison Co,109425855.38587785,80068549.04766065,248792069.4271458,248475547.37375426,331576389.20352066,1269433912.5974987,1494012511.3185365
19,2013,Southern California Edison Co,140699859.75779054,82262439.72443983,303555764.19718605,264923245.3536217,299027703.99916625,2586187165.755498,1388254342.723502
20,2014,Southern California Edison Co,163730126.00790027,95967107.06981994,196928868.7680706,283311992.0069769,311494349.4497512,1579722934.2914894,1844143342.2311602
21,2015,Southern California Edison Co,118326420.61055939,89819305.18497093,286108673.5869444,292722058.1287852,305846101.1922108,1495267093.2538266,2192098359.455147
22,2016,Southern California Edison Co,107912946.31859395,99270871.95340121,170989572.18254572,333170723.2692094,287980158.8978372,1226861840.9149573,1917629314.0487263
23,2017,Southern California Edison Co,136131097.71343154,108853294.17736033,147118282.68717957,351788904.7802701,254186587.6755546,748620581.3617747,1862456650.9480934
24,2018,Southern California Edison Co,3398438069.7625103,89670689.52068652,205214267.9779721,322382320.1169014,282100269.22709364,836509484.0752501,1976203966.0456617
25,2019,Southern California Edison Co,1007565378.1052632,157010417.474447,355037597.4462243,674113484.8726164,410523366.90617853,1134146242.5476737,2530427217.171625
26,2020,Southern California Edison Co,2458119017.7885113,154697067.42615256,429125206.1680732,907341564.0126991,394413326.6710444,1125976850.9709387,2197313520.884379
27,2021,Southern California Edison Co,2022772575.595569,132050020.66784415,465568345.18632025,633247883.3886737,339783257.4975343,1526501444.0560591,2646321337.718467
28,2022,Southern California Edison Co,2265570048.0,124963008.0,362155680.0,713659328.0,317338720.0,1151080192.0,2244305920.0
0,1994,San Diego Gas & Electric Co,20655095.50071136,8221230.971901505,39391907.81302326,28753413.643830374,36093164.86818058,94964117.63655268,220223913.00114915
1,1995,San Diego Gas & Electric Co,12011461.873532934,8687009.296447106,38136111.89045908,31896429.528463073,34469103.95113773,42660234.01996008,169899468.55600798
2,1996,San Diego Gas & Electric Co,11251998.186683938,8020292.972020726,31519283.771191712,36531573.56284974,34081259.4884456,9465712.350699482,154575286.9380311
3,1997,San Diego Gas & Electric Co,10985869.586247645,8790101.939132622,39426272.898856066,47639434.75580139,37519651.21433061,27042850.356505346,165950605.79419234
4,1998,San Diego Gas & Electric Co,8341913.427698021,10012929.440049507,26533866.172945548,78332947.7450495,41252111.854009904,19049776.004034657,208206670.59742576
5,1999,San Diego Gas & Electric Co,8070124.896555083,9786438.465684723,113728804.81869751,68810752.25689591,45684896.993499696,43540865.42563603,264754994.21916005
6,2000,San Diego Gas & Electric Co,8708797.476327015,8854981.111777252,88925613.38815166,51693150.43677725,43553506.106872045,33329325.907251183,262178984.4136493
7,2001,San Diego Gas & Electric Co,7760874.581085094,9242633.724774417,163068999.90442035,51661913.20242149,46816842.030839525,71316313.17464307,298838994.6451628
8,2002,San Diego Gas & Electric Co,17648204.47588933,11005896.443478262,115358513.74671939,59964947.250592895,61178655.70529645,106097355.75083004,362836432.4679842
9,2003,San Diego Gas & Electric Co,11762381.294133188,13659607.300055036,214552273.63575128,91843998.91654377,68351581.50049533,74334658.51165658,308632236.25228405
10,2004,San Diego Gas & Electric Co,16039279.35103672,14206270.294924408,320124609.8944277,70905027.67049676,82671964.10021599,129606386.15844494,298499142.9408208
11,2005,San Diego Gas & Electric Co,17069895.65996854,16476144.108169904,300078179.8829576,78807308.82072367,76136447.04956478,154289870.78611434,315835559.61992663
12,2006,San Diego Gas & Electric Co,17790543.541906204,26239935.56816944,344918434.5464448,73872015.55025719,93677844.40254161,164746410.32229954,322591194.4365507
13,2007,San Diego Gas & Electric Co,16639884.720654495,30680850.52999763,141841977.2577662,72465030.28811952,93367659.60588096,282912580.94190186,397818797.4844677
14,2008,San Diego Gas & Electric Co,17672306.89505401,25612966.401591815,123883484.08459353,70422805.61910176,88639805.46333143,205307983.35690734,302591947.00716317
15,2009,San Diego Gas & Electric Co,14346998.032480357,28129814.586550348,86176568.3724869,84989270.89981672,108676088.76759353,179111927.0484932,355439865.33092743
16,2010,San Diego Gas & Electric Co,116019050.83132814,27333779.271483757,92187729.4666685,75696941.60783064,66265366.68939069,134805918.9659555,481242523.8367969
17,2011,San Diego Gas & Electric Co,209307608.88299587,27490885.143804234,50898119.93973382,76290384.24237251,86605855.17320171,176289012.14641523,336459534.44935364
18,2012,San Diego Gas & Electric Co,176433766.5939779,27361410.43382966,66330342.85360334,78004100.48775065,96786128.96586592,2214590475.425214,304280534.69626105
19,2013,San Diego Gas & Electric Co,381794666.9106827,48492291.78738927,68541045.03699844,69201359.47556019,88028420.40062533,288663466.47128713,296317177.47243357
20,2014,San Diego Gas & Electric Co,280169465.1528241,37848312.124762736,59619496.13276562,66760455.33350434,68117118.5916996,721141182.512697,311957059.2791259
21,2015,San Diego Gas & Electric Co,121671830.02402155,37109779.62950191,65555003.44592161,68788953.1063768,101364934.17155671,433102910.30570763,435305601.0132346
22,2016,San Diego Gas & Electric Co,104228701.35764576,40210804.7680697,64072228.42040218,72585166.19135897,94776149.49298486,349822181.00997823,405373748.62179005
23,2017,San Diego Gas & Electric Co,110861035.3757016,39027999.815713294,61807236.21797158,69489814.09009261,97662233.22731523,552425613.021434,512964812.07186663
24,2018,San Diego Gas & Electric Co,127770986.46896927,41022052.90617953,59446152.623850696,73908271.3555899,83452269.74646889,691704236.5632539,530976094.42483276
25,2019,San Diego Gas & Electric Co,156870647.67353168,45784117.22006103,61921989.18764303,98629647.47177728,102968578.53546913,436494207.8886347,557321796.3371472
26,2020,San Diego Gas & Electric Co,197403707.0280303,53049340.959162086,55664694.91482376,198148340.3732668,146966694.61916265,664548232.1031123,632889623.0902233
27,2021,San Diego Gas & Electric Co,231704266.42493752,54969841.31238388,62996124.347088106,149381494.03894767,161897155.45711863,476471653.74645054,975094754.4375991
28,2022,San Diego Gas & Electric Co,232737360.0,51271520.0,60946488.0,180874368.0,157041120.0,476435488.0,911010816.0
