,Year,Utility Name,Service Type,Ownership,Revenue (thousand$)_com,Sales (MWh)_com,Customers_com,Revenue (thousand$)_ind,Sales (MWh)_ind,Customers_ind,Revenue (thousand$)_res,Sales (MWh)_res,Customers_res
0,2005,City of Alameda,Bundled,POU,30160,243028,3996,0,0,0,16510,135305,29268
1,2005,City of Anaheim,Bundled,POU,69603,666081,16199,109466,1300174,609,57879,587209,93965
2,2005,City of Azusa,Bundled,POU,10925,89853,1706,8304,86528,33,8204,74885,13790
3,2005,Banning City of,Bundled,POU,7340,62072,1210,1828,14549,5,8682,67826,10893
4,2005,City of Biggs,Bundled,POU,163,1599,63,760,12888,5,614,4657,603
5,2005,City of Burbank,Bundled,POU,39282,299884,6536,63706,534953,167,33316,258863,43930
6,2005,City of Colton,Bundled,POU,14721,103747,2203,12736,143437,37,11699,95385,15886
7,2005,City of Corona DWP,Bundled,POU,2838,22599,122,2101,19765,7,178,1207,132
8,2005,City of Corona DWP,Energy,POU,3927,51210,797,5812,68964,12,0,0,0
9,2005,City of Escondido,Bundled,POU,0,0,0,0,0,0,1,18,1
10,2005,City of Glendale,Bundled,POU,46217,340333,12349,41358,395925,220,48770,368651,70798
11,2005,City of Gridley,Bundled,POU,2258,18839,431,0,0,0,1633,13194,2058
12,2005,Healdsburg City of,Bundled,POU,2681,18220,878,3236,28304,196,3332,26045,4428
13,2005,Imperial Irrigation District,Bundled,POU,162722,1555357,17689,10667,87943,918,147842,1465448,109494
14,2005,Lassen Municipal Utility District,Bundled,POU,6268,48587,2721,1135,6341,83,8854,73068,9133
15,2005,City of Lodi,Bundled,POU,21390,159762,3420,11082,142396,38,21238,153080,26900
16,2005,City of Lompoc,Bundled,POU,3291,28734,1399,4211,45949,128,5670,59155,13462
17,2005,Los Angeles City of,Bundled,POU,1309786,13715323,186922,209490,2427836,14080,724748,7105500,1237129
18,2005,Merced Irrigation District,Bundled,POU,18399,158039,1148,13399,162726,61,2861,24459,3376
19,2005,Modesto Irrigation District,Bundled,POU,78180,914708,14661,46173,775067,249,100174,892824,92146
20,2005,City of Needles,Bundled,POU,3429,32866,472,83,834,3,2687,28577,2442
21,2005,Pacific Gas & Electric Co,Bundled,IOU,4396891,33377593,610363,994421,9665030,979,3833096,29683580,4388140
22,2005,Pacific Gas & Electric Co,Delivery,IOU,218049,3532176,5980,225934,5266075,281,5707,68732,8660
23,2005,PacifiCorp,Bundled,IOU,24081,292762,7536,8371,152932,1950,32623,390980,34420
24,2005,City of Palo Alto,Bundled,POU,37380,489702,3641,21598,307429,197,13314,161440,24732
25,2005,City of Pasadena,Bundled,POU,86934,847871,7278,0,0,0,35937,309810,53135
26,2005,City of Redding,Bundled,POU,34478,365818,5605,3502,36015,456,34572,368114,35950
27,2005,City of Riverside,Bundled,POU,63457,540249,9807,65707,764097,541,82062,684861,92106
28,2005,City of Roseville,Bundled,POU,35599,412091,5762,22498,338480,30,38957,409366,43003
29,2005,Sacramento Municipal Util Dist,Bundled,POU,74411,690066,51602,476492,5220597,12278,473294,4538773,508950
30,2005,Sacramento Municipal Util Dist,Delivery,POU,0,0,0,172,2681,1,0,0,0
31,2005,San Diego Gas & Electric Co,Bundled,IOU,931763,6671071,141707,201064,2159043,467,1046342,7075368,1179446
